0,0.5,1,1.5,2,3
0.5,1.0,0.0,,,
1.0,0.0,0.0,0.5714285714285714,0.5,0.5
,,,,,
,0.7083333333333334,0.6818181818181818,0.7142857142857143,0.65,0.6470588235294118
,0.6428571428571429,0.5555555555555556,0.5789473684210527,0.6190476190476191,0.6
,0.0,1.0,1.0,1.0,0.5555555555555556
1.0,,,0.0,,
1.0,0.75,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.3333333333333333
0.5,0.3333333333333333,0.625,0.5,0.8181818181818182,0.6666666666666666
1.0,0.0,0.25,0.0,0.16666666666666666,0.2
,1.0,1.0,1.0,1.0,
,1.0,1.0,1.0,0.8888888888888888,1.0
,1.0,1.0,,,
,,1.0,1.0,1.0,
1.0,1.0,,1.0,1.0,
1.0,0.5,0.375,0.4,0.4,0.46153846153846156
,0.2,0.5,0.5,1.0,0.6
,0.3333333333333333,0.3333333333333333,0.4,0.3,0.2222222222222222
,0.8181818181818182,0.6666666666666666,0.6363636363636364,0.7333333333333333,0.7333333333333333
1.0,0.38461538461538464,0.46153846153846156,0.5625,0.5714285714285714,0.6666666666666666
1.0,0.25,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.6
1.0,,,,,
,0.3333333333333333,0.6,0.5555555555555556,0.42857142857142855,0.3333333333333333
,,0.5,,,
,1.0,,1.0,,
,0.5,0.6666666666666666,0.5,0.5,0.5
1.0,0.47058823529411764,0.5454545454545454,0.5,0.5652173913043478,0.5909090909090909
,0.4166666666666667,0.47058823529411764,0.42857142857142855,0.38461538461538464,0.5263157894736842
1.0,,0.0,,0.0,0.0
,1.0,1.0,,1.0,1.0
