0,2,4,6,8,10
0.5,0.7272727272727273,0.3333333333333333,0.42857142857142855,0.25,0.7222222222222222
0.5,0.3333333333333333,0.0,0.25,0.3333333333333333,0.6666666666666666
0.5384615384615384,0.25,0.5,0.0,0.5454545454545454,0.6666666666666666
,0.5,,0.0,0.7142857142857143,0.7692307692307693
0.4,0.0,0.4444444444444444,0.4,0.7272727272727273,0.0
0.0,0.7272727272727273,0.0,0.42857142857142855,0.6470588235294118,1.0
0.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.625
0.0,0.2857142857142857,0.6666666666666666,0.7857142857142857,0.8666666666666667,0.25
0.3333333333333333,0.0,0.2,0.3333333333333333,0.6875,0.7333333333333333
,0.8,1.0,0.0,0.0,0.9090909090909091
0.25,0.16666666666666666,0.5,0.4,0.6,0.0
0.5,1.0,0.3333333333333333,0.782608695652174,0.0,0.5
0.0,0.0,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.0
0.5,0.0,0.7777777777777778,0.5,0.6363636363636364,0.6
1.0,0.6666666666666666,0.5,0.7,,0.5
0.75,0.2,0.0,0.6470588235294118,0.5,0.0
0.25,0.0,0.5,0.3333333333333333,0.6666666666666666,0.0
0.25,0.6666666666666666,0.5,0.3333333333333333,,0.8
0.6666666666666666,0.0,0.8571428571428571,0.8,,0.8235294117647058
0.4,0.5,0.8125,0.3333333333333333,0.0,0.625
0.0,0.5,0.25,0.5,,0.5
0.5,0.0,0.3333333333333333,0.5,0.8333333333333334,0.0
0.14285714285714285,0.25,0.5,,0.6875,0.5555555555555556
0.3333333333333333,0.5,0.75,0.5,1.0,0.5714285714285714
0.3333333333333333,0.5,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.3333333333333333,0.2,0.7777777777777778,0.5,0.25,0.5454545454545454
0.6,0.3333333333333333,0.6842105263157895,0.3333333333333333,0.7,0.6875
,0.5,0.0,0.5,0.5,0.5714285714285714
0.0,0.4,0.6,0.0,0.25,
0.6,0.0,0.0,0.6470588235294118,0.7142857142857143,0.42857142857142855
